"_v","_u"
-4.5,-3.6
-4.5,-3.528
-4.5,-3.456
-4.5,-3.384
-4.5,-3.312
-4.5,-3.24
-4.5,-3.168
-4.5,-3.096
-4.5,-3.024
-4.5,-2.952
-4.5,-2.88
-4.5,-2.808
-4.5,-2.736
-4.5,-2.664
-4.5,-2.592
-4.5,-2.52
-4.5,-2.448
-4.5,-2.376
-4.5,-2.304
-4.5,-2.232
-4.5,-2.16
-4.5,-2.088
-4.5,-2.016
-4.5,-1.944
-4.5,-1.872
-4.5,-1.8
-4.5,-1.728
-4.5,-1.656
-4.5,-1.584
-4.5,-1.512
-4.5,-1.44
-4.5,-1.368
-4.5,-1.296
-4.5,-1.224
-4.5,-1.152
-4.5,-1.08
-4.5,-1.008
-4.5,-0.936
-4.5,-0.864
-4.5,-0.792
-4.5,-0.72
-4.5,-0.648
-4.5,-0.576
-4.5,-0.504
-4.5,-0.432
-4.5,-0.36
-4.5,-0.288
-4.5,-0.216
-4.5,-0.144
-4.5,-0.072
-4.5,0
-4.5,0.072
-4.5,0.144
-4.5,0.216
-4.5,0.288
-4.5,0.36
-4.5,0.432
-4.5,0.504
-4.5,0.576
-4.5,0.648
-4.5,0.72
-4.5,0.792
-4.5,0.864
-4.5,0.936
-4.5,1.008
-4.5,1.08
-4.5,1.152
-4.5,1.224
-4.5,1.296
-4.5,1.368
-4.5,1.44
-4.5,1.512
-4.5,1.584
-4.5,1.656
-4.5,1.728
-4.5,1.8
-4.5,1.872
-4.5,1.944
-4.5,2.016
-4.5,2.088
-4.5,2.16
-4.5,2.232
-4.5,2.304
-4.5,2.376
-4.5,2.448
-4.5,2.52
-4.5,2.592
-4.5,2.664
-4.5,2.736
-4.5,2.808
-4.5,2.88
-4.5,2.952
-4.5,3.024
-4.5,3.096
-4.5,3.168
-4.5,3.24
-4.5,3.312
-4.5,3.384
-4.5,3.456
-4.5,3.528
-4.5,3.6
-4.41,-3.6
-4.41,-3.528
-4.41,-3.456
-4.41,-3.384
-4.41,-3.312
-4.41,-3.24
-4.41,-3.168
-4.41,-3.096
-4.41,-3.024
-4.41,-2.952
-4.41,-2.88
-4.41,-2.808
-4.41,-2.736
-4.41,-2.664
-4.41,-2.592
-4.41,-2.52
-4.41,-2.448
-4.41,-2.376
-4.41,-2.304
-4.41,-2.232
-4.41,-2.16
-4.41,-2.088
-4.41,-2.016
-4.41,-1.944
-4.41,-1.872
-4.41,-1.8
-4.41,-1.728
-4.41,-1.656
-4.41,-1.584
-4.41,-1.512
-4.41,-1.44
-4.41,-1.368
-4.41,-1.296
-4.41,-1.224
-4.41,-1.152
-4.41,-1.08
-4.41,-1.008
-4.41,-0.936
-4.41,-0.864
-4.41,-0.792
-4.41,-0.72
-4.41,-0.648
-4.41,-0.576
-4.41,-0.504
-4.41,-0.432
-4.41,-0.36
-4.41,-0.288
-4.41,-0.216
-4.41,-0.144
-4.41,-0.072
-4.41,0
-4.41,0.072
-4.41,0.144
-4.41,0.216
-4.41,0.288
-4.41,0.36
-4.41,0.432
-4.41,0.504
-4.41,0.576
-4.41,0.648
-4.41,0.72
-4.41,0.792
-4.41,0.864
-4.41,0.936
-4.41,1.008
-4.41,1.08
-4.41,1.152
-4.41,1.224
-4.41,1.296
-4.41,1.368
-4.41,1.44
-4.41,1.512
