"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,6307,1964,-3.6,0.106222282386485
-4.5,2.4,6307,1964,-3.528,0.109326957385281
-4.5,2.4,6307,1964,-3.456,0.109981312778283
-4.5,2.4,6307,1964,-3.384,0.101475063977846
-4.5,2.4,6307,1964,-3.312,0.0887044116407477
-4.5,2.4,6307,1964,-3.24,0.0914243950226278
-4.5,2.4,6307,1964,-3.168,0.0983315786374932
-4.5,2.4,6307,1964,-3.096,0.0947922533197894
-4.5,2.4,6307,1964,-3.024,0.0895696367134191
-4.5,2.4,6307,1964,-2.952,0.0914768152743619
-4.5,2.4,6307,1964,-2.88,0.0843468673741769
-4.5,2.4,6307,1964,-2.808,0.0794437037877785
-4.5,2.4,6307,1964,-2.736,0.0846242123560485
-4.5,2.4,6307,1964,-2.664,0.0879269310500144
-4.5,2.4,6307,1964,-2.592,0.0812565446858046
-4.5,2.4,6307,1964,-2.52,0.0744016342246766
-4.5,2.4,6307,1964,-2.448,0.073646882989527
-4.5,2.4,6307,1964,-2.376,0.0710905776942622
-4.5,2.4,6307,1964,-2.304,0.0739660692366023
-4.5,2.4,6307,1964,-2.232,0.0705462138426649
-4.5,2.4,6307,1964,-2.16,0.0578050547423668
-4.5,2.4,6307,1964,-2.088,0.0524872352494265
-4.5,2.4,6307,1964,-2.016,0.051106385014618
-4.5,2.4,6307,1964,-1.944,0.0515826015023399
-4.5,2.4,6307,1964,-1.872,0.0515829170439889
-4.5,2.4,6307,1964,-1.8,0.0423052623092411
-4.5,2.4,6307,1964,-1.728,0.0325635955462254
-4.5,2.4,6307,1964,-1.656,0.0477018584155946
-4.5,2.4,6307,1964,-1.584,0.0553180483297249
-4.5,2.4,6307,1964,-1.512,0.0498930596933059
-4.5,2.4,6307,1964,-1.44,0.0590134008049914
-4.5,2.4,6307,1964,-1.368,0.0720189959730469
-4.5,2.4,6307,1964,-1.296,0.0868450877422352
-4.5,2.4,6307,1964,-1.224,0.1014671926232
-4.5,2.4,6307,1964,-1.152,0.0889151428300465
-4.5,2.4,6307,1964,-1.08,0.0967890818948749
-4.5,2.4,6307,1964,-1.008,0.137885339875869
-4.5,2.4,6307,1964,-0.936,0.142891265664773
-4.5,2.4,6307,1964,-0.864,0.104406729898058
-4.5,2.4,6307,1964,-0.792,0.0942580851732532
-4.5,2.4,6307,1964,-0.72,0.128820087918361
-4.5,2.4,6307,1964,-0.648,0.146727610392617
-4.5,2.4,6307,1964,-0.576,0.143705377881864
-4.5,2.4,6307,1964,-0.504,0.101146181970867
-4.5,2.4,6307,1964,-0.432,0.0805914590743569
-4.5,2.4,6307,1964,-0.36,0.063492087866261
-4.5,2.4,6307,1964,-0.288,0.0741349953581544
-4.5,2.4,6307,1964,-0.216,0.0723779423758081
-4.5,2.4,6307,1964,-0.144,0.0457331496165184
-4.5,2.4,6307,1964,-0.0719999999999996,0.0227002025171514
-4.5,2.4,6307,1964,0,0.03526688108869
-4.5,2.4,6307,1964,0.0720000000000005,0.0349557106696124
-4.5,2.4,6307,1964,0.144000000000001,0.0843892370628354
